EmployeeID,FirstName,LastName,Gender,MaritalStatus,BirthDate,Position,StartDate,Salary,Currency,Email,PhoneNumber,Department,EmploymentType,EndDate,TerminationReason,Address,ContractType
1,Brenda,Anderson,Female,divorced,1969-03-06,Operations Manager,2020-02-09,17475.06,PLN,kyle94@example.net,+1-257-494-2957x330,Finance,pół etatu,2021-07-25,Restructuring,"49180 Reed Mountains Apt. 223
Port Brandonchester, FL 89522",Umowa o dzieło
2,Victoria,Watkins,Female,single,1999-04-29,Architect,2023-01-23,13002.09,USD,fieldsroy@example.com,+1-626-249-2314x299,Sales,kontrakt,2026-10-06,Retirement,"3705 Smith Underpass Suite 023
Scottbury, CT 40007",Umowa B2B
3,Cindy,Kidd,Female,divorced,1997-07-20,Engineer,2021-12-09,27149.29,EUR,jennifer59@example.net,527-810-5903x6042,IT,kontrakt,2030-08-18,Retirement,"18260 Mitchell Drive
Carrietown, NV 17436",Umowa o pracę
4,Jerry,Warner,Male,widowed,1963-03-01,Technician,2022-08-11,6668.929999999999,USD,greenryan@example.net,+1-585-976-1061,IT,pełny etat,2029-04-06,Job change,"0865 Jill Fall Suite 279
Millershire, MS 69547",Umowa o pracę
5,Elizabeth,Reed,Female,married,1985-03-27,Designer,2023-11-15,14148.86,PLN,lphillips@example.org,525.928.2851x15001,Operations,na godziny,2027-08-19,End of contract,"74516 Miguel Flat Apt. 078
Lewisshire, NY 21081",Umowa B2B
6,Brooke,Pearson,Female,single,1960-01-04,Sales Representative,2022-04-16,26708.5,GBP,fjohnson@example.com,674.791.9847,Logistics,kontrakt,2022-05-06,Layoff,"8857 Brennan Pine
Sparksfurt, TX 41570",Umowa zlecenie
7,Amy,Cooper,Female,divorced,1987-01-13,Manager,2023-03-20,29688.72,GBP,hrose@example.com,308.963.5251x215,Engineering,pół etatu,2032-01-21,Job change,"PSC 4142, Box 9738
APO AA 50102",Umowa o pracę
8,Renee,Weaver,Female,single,2003-03-15,Sales Representative,2023-10-22,23548.23,PLN,kimberly55@example.org,455.544.5740x22698,IT,pół etatu,2026-08-25,Retirement,"0142 Ian Ports
North Stephaniestad, DE 47157",Umowa o dzieło
9,Dennis,Collins,Male,widowed,1977-07-08,Project Manager,2021-03-26,26797.55,PLN,chadjones@example.org,272.563.1827,Support,pełny etat,,,"3917 Alvarez Lake Apt. 077
Lake Scottchester, PR 43298",Umowa o dzieło
10,Kimberly,Owens,Female,divorced,1975-07-09,HR Specialist,2021-06-10,17432.58,PLN,gpark@example.org,2852143834,Logistics,pół etatu,2023-04-18,Retirement,"USNV Black
FPO AE 24622",Umowa o dzieło
